	Naive CD4 T	Memory CD4 T	CD14+ Mono	B	CD8 T	FCGR3A+ Mono	NK	DC	Platelet
PPBP	4.54398578237337e-05	3.52921973363214e-05	0.000103047557920088	4.11393967318863e-05	4.17337885098533e-05	6.05650165452613e-05	1.45791721946028e-05	3.8539358319684e-05	0.0418912947414936
S100A9	0.000398860974230552	0.000383802646032495	0.0367261496427194	0.000337343053201468	0.000358910581184739	0.00340265274772468	0.000218687582919042	0.00593506118123133	0.000530269553689792
LYZ	0.00159544389692221	0.00156167973213222	0.0532049262621118	0.00143987888561602	0.00117689283597786	0.0080881826640899	0.000918487848259976	0.0409866075729839	0.00132567388422448
GNLY	0.000222150416027143	0.00024263385668721	0.000176652956434437	0.000205696983659432	0.00541704574857896	0.000121130033090523	0.0332259334314998	0.000173427112438578	8.83782589482987e-05
IGLL5	2.01954923661039e-05	3.08806726692812e-05	8.83264782172184e-06	0.00491204396978723	2.5040273105912e-05	0.000143153675470618	4.37375165838084e-05	5.7809037479526e-05	0.000176756517896597
FTL	0.0151920591324016	0.0125684337763975	0.0915621715359091	0.0158962628972009	0.0110427604397072	0.0990733552468575	0.00868918662798326	0.0242605260622411	0.02545293857711
PF4	2.01954923661039e-05	4.41152466704018e-06	3.23863753463134e-05	4.11393967318863e-05	3.33870308078827e-05	6.05650165452613e-05	1.45791721946028e-05	5.7809037479526e-05	0.0197083517454706
FTH1	0.0140712093060829	0.0148138998319209	0.0637481635453071	0.0138392930606066	0.0095904245995643	0.0762568617410791	0.00742079864705282	0.0294633394353984	0.024569155987627
FCER1A	8.07819694644155e-05	8.82304933408035e-06	4.71074550491831e-05	1.64557586927545e-05	4.17337885098533e-05	5.50591059502376e-06	4.37375165838084e-05	0.00356489064457077	8.83782589482987e-05
HLA-DRA	0.000807819694644155	0.000988181525416999	0.0118180827854638	0.0413450937155458	0.000976570651130568	0.00851764369050175	0.000685221093146331	0.04389632912612	0.00167918692001768
S100A8	0.000222150416027143	0.000229399282686089	0.0196761951308557	0.000164557586927545	0.000100161092423648	0.00116725304614504	0.000145791721946028	0.00142595625782831	0.000353513035793195
GNG11	5.04887309152597e-06	2.20576233352009e-05	1.76652956434437e-05	1.64557586927545e-05	4.17337885098533e-05	4.40472847601901e-05	1.45791721946028e-05	1.9269679159842e-05	0.0112240388864339
CD74	0.00296368850472575	0.00356451193096846	0.0117709753304146	0.0632723921736412	0.00469087782850752	0.0104061710245949	0.00358647635987229	0.0523942576356104	0.00556783031374282
CCL4	6.56353501898376e-05	3.97037220033616e-05	0.000161931876731567	0.000123418190195659	0.00154415017486457	6.05650165452613e-05	0.00701258182560394	9.63483957992099e-05	8.83782589482987e-05
NKG7	0.00026254140075935	0.000538206009378901	0.00030619845781969	0.000263292139084072	0.0195397597803133	0.000423955115816829	0.0378329518449942	0.000250505829077946	0.000265134776844896
HLA-DPB1	0.000585669278617013	0.00075878224273091	0.00506110720184661	0.0167684181079169	0.00204495563698281	0.00397526744960715	0.000743537781924742	0.0268619327488197	0.000618647812638091
CST3	0.000514985055335649	0.000449975516038098	0.0163875059252346	0.000468989122743504	0.000358910581184739	0.0131426085903217	0.000481112682421892	0.0270546295404182	0.00247459125055236
C1QA	5.04887309152597e-06	4.41152466704018e-06	2.64979434651655e-05	8.22787934637726e-06	1.66935154039413e-05	0.000407437384031758	1.45791721946028e-05	3.8539358319684e-05	8.83782589482987e-05
CLU	2.52443654576299e-05	1.76460986681607e-05	2.35537275245916e-05	1.64557586927545e-05	7.5120819317736e-05	4.40472847601901e-05	1.45791721946028e-05	3.8539358319684e-05	0.00653999116217411
GZMB	7.57330963728896e-05	7.94074440067232e-05	5.88843188114789e-05	4.93672760782636e-05	0.00171108532890399	7.15768377353089e-05	0.0156288725926142	0.0013296078620291	0.000265134776844896
TUBB1	5.55376040067857e-05	3.08806726692812e-05	2.94421594057395e-05	1.64557586927545e-05	4.17337885098533e-05	3.30354635701426e-05	1.45791721946028e-05	5.7809037479526e-05	0.00892620415377817
SDPR	3.02932385491558e-05	1.32345740011205e-05	2.35537275245916e-05	8.22787934637726e-06	1.66935154039413e-05	6.60709271402851e-05	4.37375165838084e-05	3.8539358319684e-05	0.0114007954043305
HAGH	0.00031303013167461	0.000308806726692812	0.000226704627424194	0.000773420658559463	0.000283789761867003	0.000192706870825832	0.000291583443892056	0.000134887754118894	8.83782589482987e-05
LYAR	0.000550327166976331	0.000564675157381142	0.00022376041148362	0.000164557586927545	0.00178620614822172	9.36004801154039e-05	0.00163286728579551	0.000134887754118894	0.000176756517896597
PRKCB	0.000186808304386461	0.000180872511348647	0.000276756298413951	0.00102025703895078	0.000267096246463061	0.000633179718427732	0.000218687582919042	0.000250505829077946	0.000441891294741494
HLA-DPA1	0.000459447451328863	0.000560263632714102	0.00466069383392856	0.0124816929684543	0.00120193310908378	0.00607852529690623	0.000670641920951728	0.0198092301763176	0.00070702607158639
DSCR3	0.000307981258583084	0.000158814888013446	7.65496144549226e-05	0.000329115173855091	0.000150241638635472	0.000242260066181045	7.2895860973014e-05	7.70787166393679e-05	8.83782589482987e-05
HLA-DRB1	0.000282736893125454	0.000551440583380022	0.00511410308877694	0.0127038457108065	0.00123532013989166	0.00503240228385171	0.000422795993643481	0.0195587243472396	0.00106053910737958
SMIM7	0.000590718151708539	0.000335275874695053	0.000356250128809447	0.000436077605357995	0.000317176792674885	0.000456990579386972	0.000408216821448878	0.00019269679159842	8.83782589482987e-05
PPP6C	0.000282736893125454	0.000586732780716343	0.000220816195543046	0.00027152001843045	0.000509152219820211	9.36004801154039e-05	0.000131212549751425	0.000134887754118894	0.000265134776844896
TMX2	0.000237297035301721	0.000383802646032495	0.000214927763661898	0.000296203656469582	0.000667740616157654	0.00013214185428057	0.000218687582919042	9.63483957992099e-05	8.83782589482987e-05
GP9	5.04887309152597e-06	4.41152466704018e-06	5.88843188114789e-06	8.22787934637726e-06	8.34675770197067e-06	1.10118211900475e-05	1.45791721946028e-05	1.9269679159842e-05	0.00450729120636323
AL928768.3	5.04887309152597e-06	4.41152466704018e-06	2.94421594057395e-06	0.000427849726011618	8.34675770197067e-06	5.50591059502376e-06	1.45791721946028e-05	1.9269679159842e-05	0.000265134776844896
PRF1	0.000141368446562727	0.00024704538135425	4.12190231680352e-05	7.40509141173954e-05	0.00226197133723405	6.60709271402851e-05	0.00866002828359406	5.7809037479526e-05	0.000176756517896597
TNFSF10	0.0003887632280475	0.000586732780716343	0.000818492031479557	0.000279747897776827	0.000191975427145325	0.0013434421851858	0.000291583443892056	0.000308314866557472	0.000441891294741494
CCL5	0.00117133855723403	0.0026027995535537	0.000270867866532803	0.000518356398821768	0.0199737911808158	0.000148659586065641	0.0103074747415842	0.00028904518739763	0.00989836500220946
RALY	0.000419056466596656	0.000670551749390107	0.00052995886930331	0.000444305484704372	0.000509152219820211	0.000561602880692423	0.000685221093146331	0.00038539358319684	0.000353513035793195
C1QB	1.00977461830519e-05	4.41152466704018e-06	2.35537275245916e-05	8.22787934637726e-06	8.34675770197067e-06	0.000231248244990998	1.45791721946028e-05	1.9269679159842e-05	8.83782589482987e-05
PRDX1	0.000883552791017045	0.00111611574076116	0.000550568380887328	0.000666458227056558	0.000776248466283272	0.0011121939401948	0.00026242509950285	0.000635899412274786	0.000176756517896597
HBA1	1.00977461830519e-05	4.41152466704018e-06	2.94421594057395e-06	8.22787934637726e-06	0.000108507850125619	5.50591059502376e-06	0.000831012815092359	1.9269679159842e-05	8.83782589482987e-05
UBLCP1	8.07819694644155e-05	0.000185284036015687	2.35537275245916e-05	6.58230347710181e-05	7.5120819317736e-05	0.00030833099332133	8.74750331676167e-05	1.9269679159842e-05	8.83782589482987e-05
CWC15	0.000449349705145811	0.000626436502719705	0.000317975321581986	0.000543040036860899	0.000317176792674885	0.000242260066181045	0.00026242509950285	0.000154157433278736	8.83782589482987e-05
LST1	0.000348372243315292	0.000485267713374419	0.00572061157253518	0.000337343053201468	0.000217015700251237	0.0125699938884392	0.000247845927308247	0.00316022738221409	0.00176756517896597
SDHB	0.000383714354955974	0.000688197848058267	0.000733109769202912	0.00041962184666524	0.000333870308078827	0.000401931473436734	0.00036447930486507	0.000520281337315734	8.83782589482987e-05
RABL6	7.57330963728896e-05	0.000149991838679366	0.00012660128544468	9.05066728101499e-05	7.5120819317736e-05	6.05650165452613e-05	0.000685221093146331	3.8539358319684e-05	8.83782589482987e-05
IGJ	1.51466192745779e-05	3.52921973363214e-05	5.88843188114789e-06	0.0030772268755451	2.5040273105912e-05	1.65177317850713e-05	5.83166887784112e-05	0.000134887754118894	8.83782589482987e-05
